ID,Country,Country_ID,ISO2,ISO3,ADMIN1_NAME,ADMIN1_CODE,ADMIN2_NAME,ADMIN2_CODE,IU_NAME,IU_ID,LocationName,Longitude,Latitude,Georeliability,LocationType,SurveyYear,Period,Method_0,Method_1,Method_2,Examined,Positive,Prevalence,Source,Funding,Composite_IU_ID,elevation,dist_water,MEANndvi,Sdndvi,MAXndvi,MINndvi
1083,Cameroon,7,CM,CMR,SUD,826,SANGMELIMA,7589,SANGMELIMA,7589,Meyomessi,12.20723333,2.82085,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,120,49,0.408333333,APOC,APOC,ACMR0082607589,0.675,28.3279991149902,0.77114690171853,0.067325896249336,0.892925152381253,0.598469953661931
576,Cameroon,7,CM,CMR,EST,820,ABONG MBANG,7459,ABONG MBANG,7459,MPEMZOK,13.3,3.66666667,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,80,53,0.6625,APOC,APOC,ACMR0082007459,0.75,84.7580032348633,0.767694278662132,0.064009281845492,0.882293359207184,0.591744198265373
452,Cameroon,7,CM,CMR,CENTRE,819,ESEKA,7439,ESEKA,7439,Sodibanga,10.37725,3.72305,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,32,0.4,APOC,APOC,ACMR0081907439,0.091,1.29900002479553,0.756650948093935,0.085501992404795,0.889497982883299,0.484591899385201
1091,Cameroon,7,CM,CMR,SUD,826,SANGMELIMA,7589,SANGMELIMA,7589,Moneko I/Moneko II,11.74215,3.03596667,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,85,53,0.623529412,APOC,APOC,ACMR0082607589,0.703,28.6520004272461,0.76364451463346,0.077657767354499,0.894161641619576,0.519341828043115
791,Cameroon,7,CM,CMR,NORD OUEST,824,AKO,7542,AKO,7542,Abonshie,10.73333333,6.96666667,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,102,48,0.470588235,APOC,APOC,ACMR0082407542,0.254,1.57599997520447,0.658959272286533,0.158193178745579,0.83455916356352,0.35138687818513
342,Cameroon,7,CM,CMR,ADAMAOUA,818,BANKIM,7420,BANKIM,7420,DICKI,11.44407,6.05336,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,49,0.6125,APOC,APOC,ACMR0081807420,0.742,2.82100009918213,0.606726493848439,0.158597743911765,0.802547042218789,0.320883965459759
467,Cameroon,7,CM,CMR,CENTRE,819,MBANDJOCK,7443,MBANDJOCK,7443,Ngamba,12.01667,4.43333,1,Village,2003,2001 - 2005,Mapping,RAPLOA,Questionnaire,84,32,0.380952381,APOC,APOC,ACMR0081907443,0.598,6.43599987030029,0.619220932720429,0.141049106584639,0.850589831297376,0.32644514611761
623,Cameroon,7,CM,CMR,EST,820,BERTOUA,7461,BERTOUA,7461,VIALI,13.55,4.91666667,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,52,32,0.615384615,APOC,APOC,ACMR0082007461,0.693,24.1480007171631,0.762979369304787,0.072540863039195,0.884213630882989,0.498316970343842
1147,Cameroon,7,CM,CMR,SUD OUEST,827,MAMFE,7601,MAMFE,7601,Okoroba,9.26048,5.45604,1,Village,2010,2006 - 2010,Mapping,RAPLOA,Questionnaire,80,12,0.15,APOC,APOC,ACMR0082707601,0.217,14.6899995803833,0.751941245836815,0.076468845137392,0.890758678550717,0.533756670781177
1010,Cameroon,7,CM,CMR,SUD,826,MEYOMESSALA,7586,MEYOMESSALA,7586,Endam,12.27526667,3.44845,1,Village,2004,2001 - 2005,Mapping,RAPLOA,Questionnaire,80,48,0.6,APOC,APOC,ACMR0082607586,0.654,26.9599990844727,0.760176648628403,0.076044745044975,0.912824346934249,0.522331246693566
